"Design Number","Vendor Name","Barcodes List","Purchase Invoices List","Sales Invoices List","Exists in Master","Purchase Quantity","Purchase Invoices Count","Purchase Return Quantity","Sales Quantity","Sales Invoices Count","Sales Return Quantity","Available Stock","Total Printed Stock","Total Barcodes Count","Safety Category","Action Recommended"
"86952","BOOM JNS PVT LTD","00008239, 00008240, 00008241, 00008242, 00008243","","",TRUE,0,0,0,0,0,0,5,5,5,ORPHAN_WITH_STOCK,"Delete (Simulation): Has physical stock/printed barcodes but no purchase record"
"87493-B","BOOM JNS PVT LTD","00008894","","",TRUE,0,0,0,0,0,0,1,1,1,ORPHAN_WITH_STOCK,"Delete (Simulation): Has physical stock/printed barcodes but no purchase record"
"AKR-4284 ","DEV DARSHAN DESIGNS PVT LTD","00000988","","",TRUE,0,0,0,0,0,0,2,2,1,ORPHAN_WITH_STOCK,"Delete (Simulation): Has physical stock/printed barcodes but no purchase record"
"AS01","VSB VASTTRAM PVT LTD","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
"BR 1765","DEV DARSHAN DESIGNS PVT LTD","00001280","","",TRUE,0,0,0,0,0,0,1,1,1,ORPHAN_WITH_STOCK,"Delete (Simulation): Has physical stock/printed barcodes but no purchase record"
"BR1772","DEV DARSHAN DESIGNS PVT LTD","00001274","","",TRUE,0,0,0,0,0,0,1,1,1,ORPHAN_WITH_STOCK,"Delete (Simulation): Has physical stock/printed barcodes but no purchase record"
"C893","RUCHIKA DESIGN STUDIO","00000368","","",TRUE,0,0,0,0,0,0,1,1,1,ORPHAN_WITH_STOCK,"Delete (Simulation): Has physical stock/printed barcodes but no purchase record"
"CCRS/25/03","REYAANS ","00006010, 00006011","","INV2627000393",TRUE,0,0,0,1,1,0,1,2,2,ORPHAN_WITH_SALES,"Delete (Simulation): Sold but lacks purchase invoice in database"
"CCRS/25/106","REYAANS ","00006937, 00006938, 00006940","","",TRUE,0,0,0,0,0,0,3,3,3,ORPHAN_WITH_STOCK,"Delete (Simulation): Has physical stock/printed barcodes but no purchase record"
"CCRS/25/213","REYAANS ","00006008, 00006009","","",TRUE,0,0,0,0,0,0,2,2,2,ORPHAN_WITH_STOCK,"Delete (Simulation): Has physical stock/printed barcodes but no purchase record"
"DS-1155","ONAYA FASHION PVT LTD","00009676","","",TRUE,0,0,0,0,0,0,1,1,1,ORPHAN_WITH_STOCK,"Delete (Simulation): Has physical stock/printed barcodes but no purchase record"
"DS-601 PK","ESSENCE COLLECTION PVT LTD","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
"EMB-108","ESSENCE COLLECTION PVT LTD","00008859","","",TRUE,0,0,0,0,0,0,1,1,1,ORPHAN_WITH_STOCK,"Delete (Simulation): Has physical stock/printed barcodes but no purchase record"
"FGH","LA VESTA ","00005357","","",TRUE,0,0,0,0,0,0,1,1,1,ORPHAN_WITH_STOCK,"Delete (Simulation): Has physical stock/printed barcodes but no purchase record"
"FY-008","NIRMAL CREATIONS","00001038","","",TRUE,0,0,0,0,0,0,1,1,1,ORPHAN_WITH_STOCK,"Delete (Simulation): Has physical stock/printed barcodes but no purchase record"
"I 10067","ISHIKA CREATION","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
"ISH 652 W","ISHUM DESIGNS","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
"ISH 652B","ISHUM DESIGNS","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
"JK-697","NILIMA CREATIONS ","00008521, 00008522, 00008523, 00008524, 00008525, 00008526, 00008527, 00008528","","",TRUE,0,0,0,0,0,0,8,8,8,ORPHAN_WITH_STOCK,"Delete (Simulation): Has physical stock/printed barcodes but no purchase record"
"JK-697-","NILIMA CREATIONS ","00008624, 00008625, 00008626, 00008627","","",TRUE,0,0,0,0,0,0,4,4,4,ORPHAN_WITH_STOCK,"Delete (Simulation): Has physical stock/printed barcodes but no purchase record"
